# Birdle candidate master list — popular & recognizable birds worldwide.
# Format: Common Name [| region].  '#' starts a comment.  Blank lines ignored.
# ingest_birds.py resolves scientific name + image + family from Wikipedia/iNat,
# audio-gates (drops birds with no open recording), and skips any already in the pool.
# Over-provisioned (~400) so attrition still lands us at >=365 total.

# ── NORTH AMERICA ────────────────────────────────────────────────────────────
Mute Swan | north-america
Common Loon | north-america
American Crow | north-america
Common Raven | north-america
American Goldfinch | north-america
House Finch | north-america
Purple Finch | north-america
House Sparrow | north-america
Song Sparrow | north-america
White-throated Sparrow | north-america
Dark-eyed Junco | north-america
Eastern Bluebird | north-america
Mountain Bluebird | north-america
American Robin | north-america
Gray Catbird | north-america
Northern Mockingbird | north-america
Brown Thrasher | north-america
Cedar Waxwing | north-america
Tufted Titmouse | north-america
Black-capped Chickadee | north-america
Carolina Chickadee | north-america
White-breasted Nuthatch | north-america
Red-breasted Nuthatch | north-america
Brown Creeper | north-america
House Wren | north-america
Carolina Wren | north-america
Ruby-crowned Kinglet | north-america
Golden-crowned Kinglet | north-america
Yellow Warbler | north-america
Common Yellowthroat | north-america
American Redstart | north-america
Indigo Bunting | north-america
Rose-breasted Grosbeak | north-america
Scarlet Tanager | north-america
Baltimore Oriole | north-america
Red-winged Blackbird | north-america
Common Grackle | north-america
Brown-headed Cowbird | north-america
Eastern Meadowlark | north-america
Bobolink | north-america
Blue Grosbeak | north-america
Eastern Towhee | north-america
Chipping Sparrow | north-america
Barn Swallow | north-america
Tree Swallow | north-america
Purple Martin | north-america
Eastern Phoebe | north-america
Eastern Kingbird | north-america
Great Crested Flycatcher | north-america
Downy Woodpecker | north-america
Hairy Woodpecker | north-america
Northern Flicker | north-america
Pileated Woodpecker | north-america
Red-bellied Woodpecker | north-america
Red-headed Woodpecker | north-america
Belted Kingfisher | north-america
Ruby-throated Hummingbird | north-america
Chimney Swift | north-america
Mourning Dove | north-america
Rock Pigeon | north-america
Killdeer | north-america
American Woodcock | north-america
Spotted Sandpiper | north-america
Greater Yellowlegs | north-america
Sanderling | north-america
Ruddy Turnstone | north-america
American Avocet | north-america
Black-necked Stilt | north-america
Great Blue Heron | north-america
Great Egret | north-america
Snowy Egret | north-america
Green Heron | north-america
Black-crowned Night Heron | north-america
American White Pelican | north-america
Brown Pelican | north-america
Double-crested Cormorant | north-america
Sandhill Crane | north-america
American Coot | north-america
Common Gallinule | north-america
Pied-billed Grebe | north-america
Wood Stork | north-america
Roseate Spoonbill | north-america
White Ibis | north-america
Trumpeter Swan | north-america
Tundra Swan | north-america
Snow Goose | north-america
Northern Pintail | north-america
American Wigeon | north-america
Northern Shoveler | north-america
Green-winged Teal | north-america
Blue-winged Teal | north-america
Gadwall | north-america
Canvasback | north-america
Redhead | north-america
Ring-necked Duck | north-america
Bufflehead | north-america
Common Goldeneye | north-america
Hooded Merganser | north-america
Common Merganser | north-america
Ruddy Duck | north-america
Bald Eagle | north-america
Golden Eagle | north-america
Cooper's Hawk | north-america
Sharp-shinned Hawk | north-america
Northern Harrier | north-america
American Kestrel | north-america
Peregrine Falcon | north-america
Merlin | north-america
Turkey Vulture | north-america
Black Vulture | north-america
Great Horned Owl | north-america
Eastern Screech Owl | north-america
Barred Owl | north-america
Burrowing Owl | north-america
Wild Turkey | north-america
Ruffed Grouse | north-america
Northern Bobwhite | north-america
Ring-necked Pheasant | north-america
Greater Roadrunner | north-america
Yellow-billed Cuckoo | north-america
Common Nighthawk | north-america
Acorn Woodpecker | north-america
Steller's Jay | north-america
Western Scrub-Jay | north-america
Clark's Nutcracker | north-america
Black-billed Magpie | north-america
American Dipper | north-america
Varied Thrush | north-america
Western Tanager | north-america
Lazuli Bunting | north-america
Bullock's Oriole | north-america
Yellow-headed Blackbird | north-america
Cactus Wren | north-america
Verdin | north-america
Phainopepla | north-america
Vermilion Flycatcher | north-america

# ── EUROPE ───────────────────────────────────────────────────────────────────
European Robin | europe
Common Chaffinch | europe
European Greenfinch | europe
Eurasian Bullfinch | europe
Common Linnet | europe
Eurasian Siskin | europe
Hawfinch | europe
Yellowhammer | europe
Common Reed Bunting | europe
House Sparrow | europe
Eurasian Tree Sparrow | europe
Great Tit | europe
Eurasian Blue Tit | europe
Coal Tit | europe
Long-tailed Tit | europe
Eurasian Nuthatch | europe
Eurasian Treecreeper | europe
Winter Wren | europe
Dunnock | europe
European Goldfinch | europe
Common Blackbird | europe
Song Thrush | europe
Mistle Thrush | europe
Redwing | europe
Fieldfare | europe
European Pied Flycatcher | europe
European Robin | europe
Common Nightingale | europe
Black Redstart | europe
Common Redstart | europe
European Stonechat | europe
Northern Wheatear | europe
Barn Swallow | europe
Common House Martin | europe
Sand Martin | europe
Common Swift | europe
White Wagtail | europe
Grey Wagtail | europe
Yellow Wagtail | europe
Meadow Pipit | europe
Eurasian Skylark | europe
Common Starling | europe
Eurasian Jay | europe
Eurasian Magpie | europe
Western Jackdaw | europe
Rook | europe
Carrion Crow | europe
Common Wood Pigeon | europe
Eurasian Collared Dove | europe
European Turtle Dove | europe
Common Cuckoo | europe
Great Spotted Woodpecker | europe
European Green Woodpecker | europe
Eurasian Wryneck | europe
Common Kingfisher | europe
European Bee-eater | europe
European Roller | europe
Eurasian Hoopoe | europe
Common Pheasant | europe
Grey Partridge | europe
Red-legged Partridge | europe
Common Quail | europe
Western Capercaillie | europe
Eurasian Woodcock | europe
Northern Lapwing | europe
European Golden Plover | europe
Common Redshank | europe
Black-tailed Godwit | europe
Eurasian Curlew | europe
Pied Avocet | europe
Eurasian Oystercatcher | europe
Grey Heron | europe
Great Egret | europe
Little Egret | europe
Eurasian Bittern | europe
White Stork | europe
Eurasian Spoonbill | europe
Common Crane | europe
Eurasian Coot | europe
Common Moorhen | europe
Great Crested Grebe | europe
Mute Swan | europe
Whooper Swan | europe
Greylag Goose | europe
Barnacle Goose | europe
Brent Goose | europe
Common Shelduck | europe
Eurasian Wigeon | europe
Gadwall | europe
Common Teal | europe
Northern Pintail | europe
Tufted Duck | europe
Common Pochard | europe
Common Eider | europe
Red-breasted Merganser | europe
Goosander | europe
White-tailed Eagle | europe
Western Marsh Harrier | europe
Eurasian Sparrowhawk | europe
Northern Goshawk | europe
Common Buzzard | europe
Red Kite | europe
Common Kestrel | europe
Eurasian Hobby | europe
Eurasian Eagle-Owl | europe
Tawny Owl | europe
Little Owl | europe
